GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0021200220,8,2544,LeBron James,1610612748,Miami Heat,1,11,5,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,136,206,1,1,20121129,MIA,SAS
Shot Chart Detail,0021200220,35,2544,LeBron James,1610612748,Miami Heat,1,7,24,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,15,-106,118,1,1,20121129,MIA,SAS
Shot Chart Detail,0021200220,38,2544,LeBron James,1610612748,Miami Heat,1,7,1,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-202,149,1,1,20121129,MIA,SAS
Shot Chart Detail,0021200220,80,2544,LeBron James,1610612748,Miami Heat,1,3,48,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,7,9,1,0,20121129,MIA,SAS
Shot Chart Detail,0021200220,94,2544,LeBron James,1610612748,Miami Heat,1,2,45,Missed Shot,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-62,28,1,0,20121129,MIA,SAS
Shot Chart Detail,0021200220,109,2544,LeBron James,1610612748,Miami Heat,1,0,4,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,-70,252,1,0,20121129,MIA,SAS
Shot Chart Detail,0021200220,196,2544,LeBron James,1610612748,Miami Heat,2,2,50,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,1,6,1,1,20121129,MIA,SAS
Shot Chart Detail,0021200220,239,2544,LeBron James,1610612748,Miami Heat,3,10,43,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,11,0,115,1,1,20121129,MIA,SAS
Shot Chart Detail,0021200220,249,2544,LeBron James,1610612748,Miami Heat,3,9,13,Missed Shot,Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-2,12,1,0,20121129,MIA,SAS
Shot Chart Detail,0021200220,270,2544,LeBron James,1610612748,Miami Heat,3,7,14,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,18,-142,121,1,1,20121129,MIA,SAS
Shot Chart Detail,0021200220,314,2544,LeBron James,1610612748,Miami Heat,3,1,20,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,121,217,1,0,20121129,MIA,SAS
Shot Chart Detail,0021200220,318,2544,LeBron James,1610612748,Miami Heat,3,0,57,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,20,3,1,1,20121129,MIA,SAS
Shot Chart Detail,0021200220,393,2544,LeBron James,1610612748,Miami Heat,4,8,24,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,7,86,1,0,20121129,MIA,SAS
Shot Chart Detail,0021200220,437,2544,LeBron James,1610612748,Miami Heat,4,4,37,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,17,6,1,1,20121129,MIA,SAS
Shot Chart Detail,0021200220,477,2544,LeBron James,1610612748,Miami Heat,4,1,58,Made Shot,Driving Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,47,31,1,1,20121129,MIA,SAS
Shot Chart Detail,0021200220,480,2544,LeBron James,1610612748,Miami Heat,4,1,25,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-163,200,1,0,20121129,MIA,SAS
Shot Chart Detail,0021200233,25,2544,LeBron James,1610612748,Miami Heat,1,7,46,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,21,-111,181,1,0,20121201,MIA,BKN
Shot Chart Detail,0021200233,175,2544,LeBron James,1610612748,Miami Heat,2,5,32,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,1,12,1,1,20121201,MIA,BKN
Shot Chart Detail,0021200233,191,2544,LeBron James,1610612748,Miami Heat,2,4,27,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,12,11,1,0,20121201,MIA,BKN
Shot Chart Detail,0021200233,194,2544,LeBron James,1610612748,Miami Heat,2,4,21,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,18,9,1,0,20121201,MIA,BKN
Shot Chart Detail,0021200233,196,2544,LeBron James,1610612748,Miami Heat,2,4,18,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,0,14,1,1,20121201,MIA,BKN
Shot Chart Detail,0021200233,208,2544,LeBron James,1610612748,Miami Heat,2,3,11,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,51,61,1,1,20121201,MIA,BKN
Shot Chart Detail,0021200233,213,2544,LeBron James,1610612748,Miami Heat,2,3,5,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,0,258,1,0,20121201,MIA,BKN
Shot Chart Detail,0021200233,221,2544,LeBron James,1610612748,Miami Heat,2,1,26,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-13,7,1,1,20121201,MIA,BKN
Shot Chart Detail,0021200233,270,2544,LeBron James,1610612748,Miami Heat,3,9,57,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-171,181,1,1,20121201,MIA,BKN
Shot Chart Detail,0021200233,303,2544,LeBron James,1610612748,Miami Heat,3,7,17,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,4,80,1,1,20121201,MIA,BKN
Shot Chart Detail,0021200233,346,2544,LeBron James,1610612748,Miami Heat,3,3,8,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-2,9,1,1,20121201,MIA,BKN
Shot Chart Detail,0021200233,358,2544,LeBron James,1610612748,Miami Heat,3,1,4,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,0,67,1,0,20121201,MIA,BKN
Shot Chart Detail,0021200233,465,2544,LeBron James,1610612748,Miami Heat,4,4,43,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,12,7,1,0,20121201,MIA,BKN
Shot Chart Detail,0021200233,475,2544,LeBron James,1610612748,Miami Heat,4,3,36,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,16,81,148,1,0,20121201,MIA,BKN
Shot Chart Detail,0021200233,487,2544,LeBron James,1610612748,Miami Heat,4,3,13,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,2,11,1,1,20121201,MIA,BKN
Shot Chart Detail,0021200252,45,2544,LeBron James,1610612748,Miami Heat,1,8,30,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-5,-6,1,1,20121204,WAS,MIA
Shot Chart Detail,0021200252,68,2544,LeBron James,1610612748,Miami Heat,1,6,38,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,12,-123,20,1,0,20121204,WAS,MIA
Shot Chart Detail,0021200252,121,2544,LeBron James,1610612748,Miami Heat,1,2,2,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,13,-128,-33,1,1,20121204,WAS,MIA
Shot Chart Detail,0021200252,129,2544,LeBron James,1610612748,Miami Heat,1,1,28,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,17,78,156,1,0,20121204,WAS,MIA
Shot Chart Detail,0021200252,185,2544,LeBron James,1610612748,Miami Heat,2,6,45,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,20,-196,67,1,0,20121204,WAS,MIA
Shot Chart Detail,0021200252,236,2544,LeBron James,1610612748,Miami Heat,2,2,13,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,12,106,72,1,0,20121204,WAS,MIA
Shot Chart Detail,0021200252,243,2544,LeBron James,1610612748,Miami Heat,2,1,23,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-4,-3,1,1,20121204,WAS,MIA
Shot Chart Detail,0021200252,245,2544,LeBron James,1610612748,Miami Heat,2,0,55,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-10,-22,1,1,20121204,WAS,MIA
Shot Chart Detail,0021200252,255,2544,LeBron James,1610612748,Miami Heat,2,0,1,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,9,88,44,1,0,20121204,WAS,MIA
Shot Chart Detail,0021200252,314,2544,LeBron James,1610612748,Miami Heat,3,5,39,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-220,119,1,0,20121204,WAS,MIA
Shot Chart Detail,0021200252,323,2544,LeBron James,1610612748,Miami Heat,3,4,13,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,-5,1,1,20121204,WAS,MIA
Shot Chart Detail,0021200252,334,2544,LeBron James,1610612748,Miami Heat,3,3,42,Missed Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,31,-2,1,0,20121204,WAS,MIA
Shot Chart Detail,0021200252,336,2544,LeBron James,1610612748,Miami Heat,3,3,38,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-2,6,1,1,20121204,WAS,MIA
Shot Chart Detail,0021200252,343,2544,LeBron James,1610612748,Miami Heat,3,2,33,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,15,25,1,0,20121204,WAS,MIA
Shot Chart Detail,0021200252,367,2544,LeBron James,1610612748,Miami Heat,3,0,37,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,2,3,1,1,20121204,WAS,MIA
Shot Chart Detail,0021200252,371,2544,LeBron James,1610612748,Miami Heat,3,0,5,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,70,-16,1,0,20121204,WAS,MIA
Shot Chart Detail,0021200252,400,2544,LeBron James,1610612748,Miami Heat,4,9,53,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20121204,WAS,MIA
Shot Chart Detail,0021200252,403,2544,LeBron James,1610612748,Miami Heat,4,9,25,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,-8,1,1,20121204,WAS,MIA
Shot Chart Detail,0021200252,450,2544,LeBron James,1610612748,Miami Heat,4,5,20,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,100,249,1,1,20121204,WAS,MIA
Shot Chart Detail,0021200252,462,2544,LeBron James,1610612748,Miami Heat,4,3,22,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,7,-17,1,0,20121204,WAS,MIA
Shot Chart Detail,0021200252,482,2544,LeBron James,1610612748,Miami Heat,4,1,54,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,13,0,1,1,20121204,WAS,MIA
Shot Chart Detail,0021200252,494,2544,LeBron James,1610612748,Miami Heat,4,0,18,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,95,239,1,0,20121204,WAS,MIA
Shot Chart Detail,0021200252,505,2544,LeBron James,1610612748,Miami Heat,4,0,8,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,23,-8,1,1,20121204,WAS,MIA
Shot Chart Detail,0021200252,515,2544,LeBron James,1610612748,Miami Heat,4,0,3,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,24,244,-24,1,0,20121204,WAS,MIA
Shot Chart Detail,0021200268,28,2544,LeBron James,1610612748,Miami Heat,1,8,17,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,17,174,28,1,1,20121206,MIA,NYK
Shot Chart Detail,0021200268,63,2544,LeBron James,1610612748,Miami Heat,1,4,34,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,9,1,1,1,20121206,MIA,NYK
Shot Chart Detail,0021200268,92,2544,LeBron James,1610612748,Miami Heat,1,2,47,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,181,170,1,1,20121206,MIA,NYK
Shot Chart Detail,0021200268,101,2544,LeBron James,1610612748,Miami Heat,1,2,3,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,19,-68,179,1,1,20121206,MIA,NYK
Shot Chart Detail,0021200268,109,2544,LeBron James,1610612748,Miami Heat,1,1,11,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,17,177,26,1,0,20121206,MIA,NYK
Shot Chart Detail,0021200268,199,2544,LeBron James,1610612748,Miami Heat,2,4,45,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,4,9,1,1,20121206,MIA,NYK
Shot Chart Detail,0021200268,259,2544,LeBron James,1610612748,Miami Heat,2,0,17,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,177,172,1,1,20121206,MIA,NYK
Shot Chart Detail,0021200268,302,2544,LeBron James,1610612748,Miami Heat,3,9,11,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,170,175,1,1,20121206,MIA,NYK
Shot Chart Detail,0021200268,331,2544,LeBron James,1610612748,Miami Heat,3,6,37,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,193,154,1,0,20121206,MIA,NYK
Shot Chart Detail,0021200268,343,2544,LeBron James,1610612748,Miami Heat,3,5,36,Missed Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,37,19,1,0,20121206,MIA,NYK
Shot Chart Detail,0021200268,373,2544,LeBron James,1610612748,Miami Heat,3,3,39,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,7,1,1,0,20121206,MIA,NYK
Shot Chart Detail,0021200268,382,2544,LeBron James,1610612748,Miami Heat,3,3,7,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,17,-89,146,1,0,20121206,MIA,NYK
Shot Chart Detail,0021200268,395,2544,LeBron James,1610612748,Miami Heat,3,2,55,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,4,11,1,1,20121206,MIA,NYK
Shot Chart Detail,0021200268,401,2544,LeBron James,1610612748,Miami Heat,3,2,4,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,12,67,108,1,0,20121206,MIA,NYK
Shot Chart Detail,0021200268,413,2544,LeBron James,1610612748,Miami Heat,3,1,36,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,6,1,1,20121206,MIA,NYK
Shot Chart Detail,0021200268,448,2544,LeBron James,1610612748,Miami Heat,4,11,45,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-4,9,1,0,20121206,MIA,NYK
Shot Chart Detail,0021200268,455,2544,LeBron James,1610612748,Miami Heat,4,10,37,Made Shot,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-5,64,1,1,20121206,MIA,NYK
Shot Chart Detail,0021200268,467,2544,LeBron James,1610612748,Miami Heat,4,8,48,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,-11,261,1,0,20121206,MIA,NYK
Shot Chart Detail,0021200268,511,2544,LeBron James,1610612748,Miami Heat,4,4,40,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-10,11,1,1,20121206,MIA,NYK
Shot Chart Detail,0021200268,513,2544,LeBron James,1610612748,Miami Heat,4,4,5,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,9,1,0,20121206,MIA,NYK
Shot Chart Detail,0021200286,10,2544,LeBron James,1610612748,Miami Heat,1,10,10,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-11,4,1,1,20121208,MIA,NOH
Shot Chart Detail,0021200286,40,2544,LeBron James,1610612748,Miami Heat,1,6,40,Missed Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,47,58,1,0,20121208,MIA,NOH
Shot Chart Detail,0021200286,79,2544,LeBron James,1610612748,Miami Heat,1,3,30,Made Shot,Jump Bank Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,40,12,1,1,20121208,MIA,NOH
Shot Chart Detail,0021200286,82,2544,LeBron James,1610612748,Miami Heat,1,2,56,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,12,14,1,1,20121208,MIA,NOH
Shot Chart Detail,0021200286,185,2544,LeBron James,1610612748,Miami Heat,2,5,29,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,9,1,1,20121208,MIA,NOH
Shot Chart Detail,0021200286,193,2544,LeBron James,1610612748,Miami Heat,2,5,2,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,1,11,1,1,20121208,MIA,NOH
Shot Chart Detail,0021200286,221,2544,LeBron James,1610612748,Miami Heat,2,2,0,Made Shot,Pullup Bank shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,14,-116,89,1,1,20121208,MIA,NOH
Shot Chart Detail,0021200286,242,2544,LeBron James,1610612748,Miami Heat,3,11,3,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,19,193,44,1,1,20121208,MIA,NOH
Shot Chart Detail,0021200286,249,2544,LeBron James,1610612748,Miami Heat,3,10,5,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,21,17,1,1,20121208,MIA,NOH
Shot Chart Detail,0021200286,258,2544,LeBron James,1610612748,Miami Heat,3,8,41,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,3,8,1,1,20121208,MIA,NOH
Shot Chart Detail,0021200286,326,2544,LeBron James,1610612748,Miami Heat,3,3,41,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,12,7,1,1,20121208,MIA,NOH
Shot Chart Detail,0021200286,328,2544,LeBron James,1610612748,Miami Heat,3,2,50,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,1,104,1,0,20121208,MIA,NOH
Shot Chart Detail,0021200286,330,2544,LeBron James,1610612748,Miami Heat,3,2,47,Made Shot,Tip Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,9,1,1,20121208,MIA,NOH
Shot Chart Detail,0021200286,346,2544,LeBron James,1610612748,Miami Heat,3,0,36,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,19,-185,67,1,0,20121208,MIA,NOH
Shot Chart Detail,0021200286,421,2544,LeBron James,1610612748,Miami Heat,4,5,55,Missed Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,17,173,20,1,0,20121208,MIA,NOH
Shot Chart Detail,0021200286,470,2544,LeBron James,1610612748,Miami Heat,4,0,37,Missed Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,15,146,41,1,0,20121208,MIA,NOH
Shot Chart Detail,0021200300,14,2544,LeBron James,1610612748,Miami Heat,1,10,4,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,12,-120,12,1,1,20121210,MIA,ATL
Shot Chart Detail,0021200300,85,2544,LeBron James,1610612748,Miami Heat,1,2,45,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,16,-125,101,1,0,20121210,MIA,ATL
Shot Chart Detail,0021200300,94,2544,LeBron James,1610612748,Miami Heat,1,2,24,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,13,7,1,1,20121210,MIA,ATL
Shot Chart Detail,0021200300,106,2544,LeBron James,1610612748,Miami Heat,1,0,45,Missed Shot,Running Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,10,-97,36,1,0,20121210,MIA,ATL
Shot Chart Detail,0021200300,112,2544,LeBron James,1610612748,Miami Heat,1,0,0,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,4,7,1,1,20121210,MIA,ATL
Shot Chart Detail,0021200300,172,2544,LeBron James,1610612748,Miami Heat,2,5,53,Made Shot,Putback Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,4,4,1,1,20121210,MIA,ATL
Shot Chart Detail,0021200300,203,2544,LeBron James,1610612748,Miami Heat,2,2,52,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-8,9,1,1,20121210,MIA,ATL
Shot Chart Detail,0021200300,207,2544,LeBron James,1610612748,Miami Heat,2,2,16,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,171,181,1,1,20121210,MIA,ATL
Shot Chart Detail,0021200300,217,2544,LeBron James,1610612748,Miami Heat,2,1,39,Missed Shot,Running Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,2,89,1,0,20121210,MIA,ATL
Shot Chart Detail,0021200300,229,2544,LeBron James,1610612748,Miami Heat,2,0,14,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,7,14,1,1,20121210,MIA,ATL
Shot Chart Detail,0021200300,286,2544,LeBron James,1610612748,Miami Heat,3,5,51,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,6,1,1,20121210,MIA,ATL
Shot Chart Detail,0021200300,341,2544,LeBron James,1610612748,Miami Heat,4,11,27,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,15,45,1,1,20121210,MIA,ATL
Shot Chart Detail,0021200300,343,2544,LeBron James,1610612748,Miami Heat,4,10,58,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-138,214,1,0,20121210,MIA,ATL
Shot Chart Detail,0021200300,354,2544,LeBron James,1610612748,Miami Heat,4,10,9,Missed Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,56,53,1,0,20121210,MIA,ATL
Shot Chart Detail,0021200300,358,2544,LeBron James,1610612748,Miami Heat,4,9,51,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,6,3,1,1,20121210,MIA,ATL
Shot Chart Detail,0021200300,428,2544,LeBron James,1610612748,Miami Heat,4,3,13,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,21,121,175,1,0,20121210,MIA,ATL
Shot Chart Detail,0021200314,22,2544,LeBron James,1610612748,Miami Heat,1,9,26,Made Shot,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-7,58,1,1,20121212,MIA,GSW
Shot Chart Detail,0021200314,39,2544,LeBron James,1610612748,Miami Heat,1,7,22,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,9,0,1,1,20121212,MIA,GSW
Shot Chart Detail,0021200314,42,2544,LeBron James,1610612748,Miami Heat,1,6,57,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-11,9,1,1,20121212,MIA,GSW
Shot Chart Detail,0021200314,89,2544,LeBron James,1610612748,Miami Heat,1,2,51,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,16,-87,135,1,0,20121212,MIA,GSW
Shot Chart Detail,0021200314,102,2544,LeBron James,1610612748,Miami Heat,1,0,29,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-26,12,1,0,20121212,MIA,GSW
Shot Chart Detail,0021200314,188,2544,LeBron James,1610612748,Miami Heat,2,4,41,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,10,-71,75,1,1,20121212,MIA,GSW
Shot Chart Detail,0021200314,195,2544,LeBron James,1610612748,Miami Heat,2,3,27,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,24,231,67,1,0,20121212,MIA,GSW
Shot Chart Detail,0021200314,203,2544,LeBron James,1610612748,Miami Heat,2,2,59,Made Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,40,14,1,1,20121212,MIA,GSW
Shot Chart Detail,0021200314,231,2544,LeBron James,1610612748,Miami Heat,2,0,0,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-8,11,1,0,20121212,MIA,GSW
Shot Chart Detail,0021200314,237,2544,LeBron James,1610612748,Miami Heat,3,11,45,Missed Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-70,11,1,0,20121212,MIA,GSW
Shot Chart Detail,0021200314,283,2544,LeBron James,1610612748,Miami Heat,3,7,34,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,12,14,1,1,20121212,MIA,GSW
Shot Chart Detail,0021200314,296,2544,LeBron James,1610612748,Miami Heat,3,5,44,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,18,182,41,1,0,20121212,MIA,GSW
Shot Chart Detail,0021200314,336,2544,LeBron James,1610612748,Miami Heat,3,2,25,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-4,58,1,1,20121212,MIA,GSW
